,Total Population,Median Household Income,Black and Latino/Hispanic,Bachelors Degree or Higher,Associates Degree,Masters Degree,White and Latino/Hispanic,state,county,tract,geometry,building_count,buildings_cat
0,4098,80470,60,1083,177,518,475,42,101,002701,"POLYGON ((-75.15599545393663 39.92553355092104, -75.15591445325953 39.92589054981219, -75.15581545243217 39.92632654845638, -75.15572545161918 39.926746547159645, -75.15563345092585 39.927121545977215, -75.15554445008327 39.92755154465321, -75.15546144928416 39.92795754340394, -75.15536644858226 39.9283385421956, -75.15527244776213 39.928764540868, -75.15517244694807 39.92919453951596, -75.1550904462662 39.929552538391704, -75.15499544542902 39.92998553703915, -75.15490644453597 39.93043353565749, -75.15482344387566 39.93078353454899, -75.15473344304033 39.93120953322143, -75.15464244223018 39.931626531914475, -75.15455444151578 39.93200253072235, -75.15445244073004 39.93242152938414, -75.15395344230393 39.932352528515544, -75.15348544376847 39.93229252768931, -75.15289144564561 39.932209526660664, -75.15235644731447 39.932143525711886, -75.15185344889423 39.93207752483179, -75.15130745060289 39.93200852387059, -75.15142545156645 39.931507525489735, -75.1515964529558 39.930783527826826, -75.1516794537858 39.93037152912506, -75.15175545453431 39.92999853030111, -75.15177845474813 39.929890530643505, -75.1518504554067 39.92955653170358, -75.15195545625524 39.929112533130514, -75.15203045694301 39.928763534235536, -75.15212945776076 39.92833753559827, -75.15240546008665 39.927130539442004, -75.15249746089331 39.926715540754984, -75.15258846163009 39.92632854198857, -75.15267846245145 39.92590954330571, -75.15277146324816 39.92549654461117, -75.15284446402175 39.92511454579164, -75.1529364648741 39.92468054714944, -75.15452445977061 39.92489654970347, -75.1560934547477 39.925104552253465, -75.15599545393663 39.92553355092104))",0,0
1,4300,76060,0,991,338,427,117,42,101,002702,"POLYGON ((-75.15284446402175 39.92511454579164, -75.15277146324816 39.92549654461117, -75.15267846245145 39.92590954330571, -75.15258846163009 39.92632854198857, -75.15249746089331 39.926715540754984, -75.15240546008665 39.927130539442004, -75.15212945776076 39.92833753559827, -75.15203045694301 39.928763534235536, -75.15195545625524 39.929112533130514, -75.1518504554067 39.92955653170358, -75.15177845474813 39.929890530643505, -75.15175545453431 39.92999853030111, -75.1516794537858 39.93037152912506, -75.1515964529558 39.930783527826826, -75.15142545156645 39.931507525489735, -75.15130745060289 39.93200852387059, -75.14972645559094 39.93179452113429, -75.14932745684548 39.931742520440096, -75.14872745873738 39.931662519402614, -75.14827746014902 39.931605518617275, -75.14779046169109 39.931538517783274, -75.14731146319555 39.93147751695038, -75.14670246512071 39.93139551590547, -75.14616846681237 39.93132251499385, -75.14636846912688 39.93022751850836, -75.14641146929984 39.93011551891408, -75.14645946939561 39.93002751926215, -75.14669147146768 39.92898852267381, -75.14670347173548 39.92887352302286, -75.14693847371593 39.92786452634669, -75.14698347410726 39.92766652699567, -75.14713747547253 39.92697852924346, -75.14721247608686 39.92666253028316, -75.1472604765237 39.92644353099523, -75.14736147727785 39.926045532315854, -75.14748247804222 39.925621533747815, -75.14757547887797 39.92520053511401, -75.14767547981856 39.924731536627185, -75.14775648044674 39.92440253770901, -75.1478404812149 39.9240165389554, -75.14940347622716 39.92420854148793, -75.15009947397535 39.92430654258463, -75.15134046997795 39.92447554456193, -75.15207446763071 39.92456954575122, -75.1529364648741 39.92468054714944, -75.15284446402175 39.92511454579164))",0,0
2,4452,65847,18,555,404,328,499,42,101,002801,"POLYGON ((-75.15910044405324 39.925933556055696, -75.15902144333431 39.926308554923494, -75.15892944253096 39.92673155363929, -75.1588294417094 39.9271705522959, -75.15881244159142 39.92723655208983, -75.15874344095823 39.92756555109385, -75.15866444019672 39.92795654991523, -75.15856843939456 39.928382548609584, -75.15848743869559 39.92875054748446, -75.15839143788709 39.929178546170846, -75.1582944370883 39.92960354486152, -75.15821643636653 39.92997654372592, -75.15811943558158 39.93039554242956, -75.15803343478774 39.93080554117819, -75.15784143327716 39.93161653865324, -75.15777543263023 39.931945537652346, -75.15772643224652 39.93215153700908, -75.15769743193309 39.9323075365388, -75.15764643157743 39.932504535914305, -75.15757643092802 39.9328385348896, -75.15602343578453 39.93263653213279, -75.15557043719215 39.932581531320345, -75.15495243914374 39.93249453024541, -75.15445244073004 39.93242152938414, -75.15455444151578 39.93200253072235, -75.15464244223018 39.931626531914475, -75.15473344304033 39.93120953322143, -75.15482344387566 39.93078353454899, -75.15490644453597 39.93043353565749, -75.15499544542902 39.92998553703915, -75.1550904462662 39.929552538391704, -75.15517244694807 39.92919453951596, -75.15527244776213 39.928764540868, -75.15536644858226 39.9283385421956, -75.15546144928416 39.92795754340394, -75.15554445008327 39.92755154465321, -75.15563345092585 39.927121545977215, -75.15572545161918 39.926746547159645, -75.15581545243217 39.92632654845638, -75.15591445325953 39.92589054981219, -75.15599545393663 39.92553355092104, -75.1560934547477 39.925104552253465, -75.15766444971962 39.92531455481398, -75.15920244482172 39.92551255735195, -75.15910044405324 39.925933556055696))",0,0
3,5772,67585,289,1566,91,698,289,42,101,002802,"POLYGON ((-75.16707241916956 39.92679956983919, -75.16693141915444 39.926969569138116, -75.16680141935771 39.9270375687091, -75.16606941990189 39.92766356568664, -75.16561342024914 39.928048563807735, -75.16500342073866 39.92855156131434, -75.16488242061982 39.928738560600976, -75.16471642092183 39.928806560091594, -75.16393442150085 39.929466556833894, -75.16350242181595 39.929831555025245, -75.1633984219531 39.929894554651646, -75.16319242208242 39.93007655376657, -75.16300042224367 39.93022955298244, -75.16278342240771 39.93040955207702, -75.16259542257653 39.930554551319204, -75.16222442282398 39.9308745497348, -75.16215142288978 39.930930549440255, -75.16104542377924 39.93181854485814, -75.1608554238241 39.93201354395848, -75.1607574239436 39.93207554359298, -75.1595154248448 39.93310153831957, -75.15914042602095 39.933050537655134, -75.15757643092802 39.9328385348896, -75.15764643157743 39.932504535914305, -75.15769743193309 39.9323075365388, -75.15772643224652 39.93215153700908, -75.15777543263023 39.931945537652346, -75.15784143327716 39.93161653865324, -75.15803343478774 39.93080554117819, -75.15811943558158 39.93039554242956, -75.15821643636653 39.92997654372592, -75.1582944370883 39.92960354486152, -75.15839143788709 39.929178546170846, -75.15848743869559 39.92875054748446, -75.15856843939456 39.928382548609584, -75.15866444019672 39.92795654991523, -75.15874344095823 39.92756555109385, -75.15881244159142 39.92723655208983, -75.1588294417094 39.9271705522959, -75.15892944253096 39.92673155363929, -75.15902144333431 39.926308554923494, -75.15910044405324 39.925933556055696, -75.15920244482172 39.92551255735195, -75.16076343984327 39.92571855992619, -75.16233643484351 39.92592156254359, -75.16289743306766 39.92599156348593, -75.16299543273821 39.92601156363105, -75.16335343160212 39.92605756423001, -75.1639164298119 39.92613156516896, -75.16446542806978 39.926202566088925, -75.16493542656106 39.92627056685963, -75.165481424846 39.92633456779365, -75.16604042305268 39.926415568712954, -75.16656342139711 39.92648256959615, -75.16705141987127 39.92653757043984, -75.16734841891954 39.92658057093047, -75.16707241916956 39.92679956983919))",0,0
4,3762,66932,35,865,80,600,290,42,101,002900,"POLYGON ((-75.16949241519762 39.92559757760258, -75.16922641301583 39.92680757415188, -75.16895441079933 39.92803657063137, -75.16881740967108 39.92865956884397, -75.16868740858246 39.92925756712847, -75.16842140638647 39.93046656364501, -75.16814840413872 39.93170256006953, -75.16787740188695 39.93293555649342, -75.16763839958193 39.93415155301539, -75.16757639977172 39.93414455289957, -75.16751439995907 39.93413855278133, -75.16661240276325 39.93401955114065, -75.16637440349758 39.933990550702475, -75.16597840473625 39.93393554999065, -75.1659254048987 39.93392954989208, -75.16542940642147 39.933872548972204, -75.16492940798794 39.9338025480772, -75.16386041131017 39.93366454613865, -75.16222541641609 39.93344554320416, -75.16167241813676 39.93337454220673, -75.16123041951566 39.93331654141373, -75.16071242111224 39.93325654046508, -75.1595154248448 39.93310153831957, -75.1607574239436 39.93207554359298, -75.1608554238241 39.93201354395848, -75.16104542377924 39.93181854485814, -75.16215142288978 39.930930549440255, -75.16222442282398 39.9308745497348, -75.16259542257653 39.930554551319204, -75.16278342240771 39.93040955207702, -75.16300042224367 39.93022955298244, -75.16319242208242 39.93007655376657, -75.1633984219531 39.929894554651646, -75.16350242181595 39.929831555025245, -75.16393442150085 39.929466556833894, -75.16471642092183 39.928806560091594, -75.16488242061982 39.928738560600976, -75.16500342073866 39.92855156131434, -75.16561342024914 39.928048563807735, -75.16606941990189 39.92766356568664, -75.16680141935771 39.9270375687091, -75.16693141915444 39.926969569138116, -75.16707241916956 39.92679956983919, -75.16734841891954 39.92658057093047, -75.16814541836656 39.92587657424373, -75.16826741821087 39.925797574679166, -75.16858041746792 39.92573557545341, -75.16936041558947 39.92559157735445, -75.16943341545856 39.92555957757681, -75.16949741534121 39.925532577769154, -75.16949241519762 39.92559757760258))",0,0
5,3722,50536,0,848,209,209,106,42,101,003001,"POLYGON ((-75.1754663922516 39.92806658380437, -75.17538239160734 39.928437582779004, -75.17528739085094 39.92886858159167, -75.17519439009772 39.929295580416216, -75.17511338945754 39.92966057940719, -75.17503038867247 39.93008857824745, -75.17494038791125 39.93051457707649, -75.17484838728133 39.93088757602257, -75.1747623865195 39.931308574868865, -75.17422038821176 39.93123757389971, -75.17374438969286 39.93117757304422, -75.17351439041111 39.931147572633584, -75.1731883914281 39.93110557205075, -75.17263039317203 39.931032571056896, -75.17217139460215 39.93097457023565, -75.17162639632525 39.930895569285795, -75.1712803973999 39.9308535686642, -75.17106339807074 39.930828568271416, -75.17062139945219 39.93077156748652, -75.1703874001857 39.93074056707332, -75.17004640125442 39.930695566471236, -75.16951740290365 39.93062956552912, -75.16925640371862 39.93059656506581, -75.16907840428058 39.93057156475606, -75.16892140478349 39.93054656449011, -75.16842140638647 39.93046656364501, -75.16868740858246 39.92925756712847, -75.16881740967108 39.92865956884397, -75.16895441079933 39.92803657063137, -75.16922641301583 39.92680757415188, -75.16988041089138 39.926915575207765, -75.17031540953674 39.92696357596858, -75.17084440785689 39.9270355768623, -75.17139540611993 39.92710557780652, -75.1718734045961 39.92717357860955, -75.17241440291289 39.92723357955982, -75.17296240115994 39.927314580476114, -75.17342439972649 39.927364581292636, -75.17398739794656 39.927439582256014, -75.17502039468167 39.927577584026714, -75.17556039299052 39.92764358496851, -75.1754663922516 39.92806658380437))",0,0
6,2961,54286,41,460,80,284,20,42,101,003002,"POLYGON ((-75.17470438606244 39.931568574145466, -75.17449338437332 39.932524571485644, -75.17439838358884 39.93296457026349, -75.17431838288356 39.93335356919024, -75.17423138216859 39.93375456807302, -75.17416338149567 39.934115567088284, -75.17396837998264 39.93497556466754, -75.17341538172488 39.93488956367486, -75.17294538315323 39.934838562780655, -75.17238738487713 39.934766561747146, -75.17185538651738 39.934699560759256, -75.17141438789068 39.93463855995429, -75.17082738970196 39.93456455886716, -75.17033839121953 39.93449955797077, -75.16994739242858 39.9344495572501, -75.1692433945941 39.93436455594218, -75.16846639700776 39.93426155452347, -75.16763839958193 39.93415155301539, -75.16787740188695 39.93293555649342, -75.16814840413872 39.93170256006953, -75.16842140638647 39.93046656364501, -75.16892140478349 39.93054656449011, -75.16907840428058 39.93057156475606, -75.16925640371862 39.93059656506581, -75.16951740290365 39.93062956552912, -75.17004640125442 39.930695566471236, -75.1703874001857 39.93074056707332, -75.17062139945219 39.93077156748652, -75.17106339807074 39.930828568271416, -75.1712803973999 39.9308535686642, -75.17162639632525 39.930895569285795, -75.17217139460215 39.93097457023565, -75.17263039317203 39.931032571056896, -75.1731883914281 39.93110557205075, -75.17351439041111 39.931147572633584, -75.17374438969286 39.93117757304422, -75.17422038821176 39.93123757389971, -75.1747623865195 39.931308574868865, -75.17470438606244 39.931568574145466))",0,0
7,4575,57250,0,682,220,391,192,42,101,003100,"POLYGON ((-75.18184436930999 39.93015259221623, -75.18177336866182 39.930517591270565, -75.18168536792153 39.930942590157166, -75.18158736720869 39.93136758902148, -75.18150736657027 39.93173858804052, -75.18141736583604 39.9321625869211, -75.1813223651058 39.93259058578096, -75.18125036447829 39.93294658484638, -75.18116036370492 39.93338658368787, -75.18105836299226 39.93381458252867, -75.18097336236443 39.934185581529896, -75.18088736162223 39.93460658041764, -75.18079136091418 39.9350245792891, -75.18072036022711 39.93540357829936, -75.18061935954101 39.93581757716614, -75.1790333644144 39.93561357417454, -75.17851236601882 39.93554557319657, -75.17801336752278 39.93549457222923, -75.17757936888226 39.93542857143763, -75.17710537033193 39.935371570539985, -75.17667837163981 39.93531956973367, -75.17611937336898 39.93524456869517, -75.17553437518059 39.93516556761116, -75.17502137675967 39.93510056665206, -75.17458537809446 39.93504856583035, -75.17396837998264 39.93497556466754, -75.17416338149567 39.934115567088284, -75.17423138216859 39.93375456807302, -75.17431838288356 39.93335356919024, -75.17439838358884 39.93296457026349, -75.17449338437332 39.932524571485644, -75.17470438606244 39.931568574145466, -75.1747623865195 39.931308574868865, -75.17484838728133 39.93088757602257, -75.17494038791125 39.93051457707649, -75.17503038867247 39.93008857824745, -75.17511338945754 39.92966057940719, -75.17519439009772 39.929295580416216, -75.17528739085094 39.92886858159167, -75.17587638900825 39.92894258262847, -75.17633338757528 39.92900158343037, -75.17686938591459 39.9290625843908, -75.17844338096845 39.9292725871486, -75.18036537495144 39.92952259054654, -75.18194237001394 39.92973059334124, -75.18184436930999 39.93015259221623))",0,0
8,4100,43289,0,368,190,134,104,42,101,003200,"POLYGON ((-75.19012534355821 39.93122060719651, -75.18994634229605 39.93200360522472, -75.18968634026061 39.933228602172356, -75.18941333830786 39.93443059912769, -75.18931533759304 39.934867598020524, -75.18923433696595 39.9352445970718, -75.18914633624243 39.93567259600199, -75.18906033552177 39.936096594943415, -75.188975334938 39.93645859401329, -75.18888333421911 39.93688859292665, -75.18732433899807 39.9366805899414, -75.18575834377215 39.93648558692506, -75.18572434387761 39.936480586861315, -75.18497734616822 39.93638258543711, -75.18448934766296 39.93631958450595, -75.18391434943358 39.9362415834183, -75.18336335109692 39.936181582345746, -75.18285435265614 39.93611658137676, -75.18228335442933 39.936033580313136, -75.18061935954101 39.93581757716614, -75.18072036022711 39.93540357829936, -75.18079136091418 39.9350245792891, -75.18088736162223 39.93460658041764, -75.18097336236443 39.934185581529896, -75.18105836299226 39.93381458252867, -75.18116036370492 39.93338658368787, -75.18125036447829 39.93294658484638, -75.1813223651058 39.93259058578096, -75.18141736583604 39.9321625869211, -75.18150736657027 39.93173858804052, -75.18158736720869 39.93136758902148, -75.18168536792153 39.930942590157166, -75.18177336866182 39.930517591270565, -75.18184436930999 39.93015259221623, -75.18194237001394 39.92973059334124, -75.18359936487711 39.929929596332606, -75.18382036419138 39.929956596731486, -75.18523835975311 39.93014759925823, -75.18577035811587 39.93020760023338, -75.18626735655953 39.93027560112026, -75.1870253541795 39.93038260246834, -75.18707335403057 39.93038860255544, -75.18805935097359 39.930511604347195, -75.18863434918892 39.93058460539149, -75.19022034428212 39.930780608290675, -75.19012534355821 39.93122060719651))",0,0
9,6417,53678,104,268,200,237,508,42,101,003300,"POLYGON ((-75.20542928452944 39.93877162590304, -75.20528228137441 39.940447622620454, -75.20526428108595 39.9406066222994, -75.2052572809564 39.940676622160126, -75.20518328022163 39.94111762121438, -75.20508527965575 39.94150962029936, -75.20500327924975 39.94180561958925, -75.20489927901798 39.94204761892354, -75.20475427889923 39.94228861816475, -75.2045752788274 39.94255061728936, -75.20432427889882 39.94283661620393, -75.20414727904588 39.94299261551842, -75.20392027932363 39.94315061471302, -75.20361627974931 39.94333661367829, -75.2031542804515 39.94359261214992, -75.20236828213243 39.94379960995488, -75.20179528342908 39.943916608412884, -75.20131328459749 39.94397860718072, -75.20094728554069 39.94399960629241, -75.20063728634985 39.944012605548636, -75.20036828711966 39.94399260496104, -75.20016828773568 39.94395760456165, -75.19978828904642 39.94382660392363, -75.19686929933827 39.942731599252504, -75.19594230259666 39.94239359777441, -75.1956443035975 39.9423065972597, -75.19523230491062 39.94221859648685, -75.19496930568243 39.94219259593537, -75.19446130713987 39.942157594841014, -75.19398330844284 39.94215559375103, -75.19387030886975 39.94210159359877, -75.1929253124493 39.94164759233888, -75.19278231292316 39.941609592088525, -75.19266231334117 39.941568591896726, -75.19234131446724 39.941455591391176, -75.19049332203176 39.94032958947155, -75.18952332601647 39.93973858849399, -75.18900832813428 39.93942558798179, -75.1887103286269 39.93956858701955, -75.18845432894487 39.939737586096314, -75.18823832921392 39.939879585317335, -75.18825932940604 39.93976958559231, -75.18832832980463 39.93951058628323, -75.18838833032513 39.939208587042316, -75.18845733083194 39.938901587831154, -75.18852533148845 39.93852958875129, -75.18854333160671 39.938455588944166, -75.18858733198203 39.938236589494096, -75.1886373323973 39.937992590108564, -75.18872033303631 39.93760959108216, -75.18880133358746 39.937267591965714, -75.18888333421911 39.93688859292665, -75.188975334938 39.93645859401329, -75.18906033552177 39.936096594943415, -75.18914633624243 39.93567259600199, -75.18923433696595 39.9352445970718, -75.18931533759304 39.934867598020524, -75.18941333830786 39.93443059912769, -75.18968634026061 39.933228602172356, -75.18994634229605 39.93200360522472, -75.19012534355821 39.93122060719651, -75.19022034428212 39.930780608290675, -75.19100434186278 39.93087560973178, -75.1917813394353 39.93098361113488, -75.19232033775872 39.93105561211581, -75.19281433623159 39.931117613024, -75.19335133456858 39.931186614009334, -75.1930893325762 39.93241161103192, -75.19282433060232 39.93362960805042, -75.19337232891128 39.933702609075716, -75.1938723273636 39.93377161000775, -75.1944063257594 39.93382361104704, -75.19492332413895 39.933904611994414, -75.19518632332638 39.93394061248705, -75.19543532255743 39.933974612953946, -75.19596932092843 39.93403861397349, -75.19650031929079 39.93411061497246, -75.19702031769542 39.934177615958795, -75.19753531613861 39.93423361695658, -75.19923831089451 39.93446462017771, -75.199501310065 39.93450962065901, -75.19925930811547 39.93571561788095, -75.19904830685455 39.93656361583193, -75.19900330670248 39.93669061549516, -75.19894030660438 39.93681561512247, -75.19892630659515 39.93683761505047, -75.1988783065622 39.936913614802435, -75.1988473065454 39.9369606146461, -75.19882330652891 39.93699861452198, -75.19881530652485 39.93701061448186, -75.19879530652995 39.93703361439471, -75.19846530661843 39.93741061295887, -75.1983223064954 39.937647612196194, -75.19792230668581 39.93806461052266, -75.19801530638183 39.93808661068694, -75.19818730582561 39.93812461099604, -75.19857930460327 39.93819061174025, -75.19865230437632 39.938202611879476, -75.19873130412635 39.9382176120264, -75.19919930261734 39.93831961287308, -75.19934230211982 39.938367613100645, -75.19961330124889 39.93842561359408, -75.20019229939533 39.93854661465564, -75.20034929984965 39.9381376157623, -75.20113829912115 39.93746961873851, -75.20126429877168 39.93747061901436, -75.20164029754127 39.93756061967841, -75.20214429592654 39.93766562059889, -75.203300292211 39.9379136227045, -75.20387929036511 39.93803162377414, -75.20445728851891 39.938151624840465, -75.20546628530836 39.93835662671581, -75.20542928452944 39.93877162590304))",1,1
